model_key,category,generation,DETPass,SDET,fitness,prompt_tokens,latency_sec,genome_id
llama31_8b,7,4,75.0,82.8142,100.0,230774,91.0194,cross-13955f31-371c-1259-fbad-687ddbdd14b9
llama31_8b,7,5,75.0,82.8142,100.0,230774,91.078,cross-13955f31-371c-1259-fbad-687ddbdd14b9
llama31_8b,7,6,75.0,82.8142,100.0,230774,91.0821,clone-24009680-22c6-3661-2d50-7d087b4b4f15
llama31_8b,7,7,75.0,82.8142,100.0,230774,91.1296,clone-24009680-22c6-3661-2d50-7d087b4b4f15
llama31_8b,7,8,75.0,82.8142,100.0,230774,91.0698,clone-24009680-22c6-3661-2d50-7d087b4b4f15
llama31_8b,7,9,50.0,82.9235,100.0,226802,89.7906,mut-717fc781-0a42-ef31-6389-92fcc8826060
llama31_8b,7,10,50.0,82.9235,100.0,226802,89.8012,cross-1bd3e796-d505-1fda-ae98-0eccf06b5b64
llama31_8b,8,1,100.0,92.0326,91.0577,136890,51.8895,gene-a8e6eed5-83e4-bd55-bdf4-6a0c89a97012
llama31_8b,8,2,100.0,92.0326,91.0577,136890,51.9225,clone-5c27907b-a091-5161-c08b-ad3f2693604f
llama31_8b,8,3,100.0,92.0326,91.0577,136890,51.9277,clone-5c27907b-a091-5161-c08b-ad3f2693604f
llama31_8b,8,4,100.0,92.1902,91.0577,136882,52.2307,mut-10ac7140-0c51-8ad3-def3-2b7b605fa2c1
llama31_8b,8,5,100.0,92.1902,91.0577,136882,52.2129,clone-ca371f6f-0c58-5543-8a30-3130b58b9d66
llama31_8b,8,6,100.0,92.1902,91.0577,136882,52.2811,clone-ca371f6f-0c58-5543-8a30-3130b58b9d66
llama31_8b,8,7,100.0,92.1902,91.0577,136882,52.2368,clone-937497dc-2d94-2a36-a4f2-0f5581ad5ca6
llama31_8b,8,8,100.0,92.1902,91.0577,136882,52.2848,clone-6e02a477-f15a-3dd1-a0e6-0205c922789a
llama31_8b,8,9,100.0,92.1902,91.0577,136882,52.2336,clone-4c7a17eb-d03a-4dc7-fe5c-e9a155f57738
llama31_8b,8,10,100.0,92.1902,91.0577,136882,52.0374,clone-0f36cd2b-43a0-14a4-9b9e-f5e275fbb68d
